Id,Label
United Arab Emirates,United Arab Emirates
Yemen,Yemen
EUROPE,EUROPE
Eastern Europe,Eastern Europe
Belarus,Belarus
Bulgaria,Bulgaria
Czechia,Czechia
Hungary,Hungary
Poland,Poland
Republic of Moldova*,Republic of Moldova*
Romania,Romania
Russian Federation,Russian Federation
Slovakia,Slovakia
Ukraine*,Ukraine*
Northern Europe,Northern Europe
Channel Islands*,Channel Islands*
Denmark*,Denmark*
Estonia,Estonia
Faroe Islands*,Faroe Islands*
Finland*,Finland*
Iceland,Iceland
Ireland,Ireland
Isle of Man*,Isle of Man*
Latvia,Latvia
Lithuania,Lithuania
Norway*,Norway*
Sweden,Sweden
United Kingdom*,United Kingdom*
Southern Europe,Southern Europe
Albania,Albania
Andorra,Andorra
Bosnia and Herzegovina,Bosnia and Herzegovina
Croatia,Croatia
Gibraltar*,Gibraltar*
Greece,Greece
Holy See*,Holy See*
Italy,Italy
Malta,Malta
Montenegro,Montenegro
North Macedonia,North Macedonia
Portugal,Portugal
San Marino,San Marino
Serbia*,Serbia*
Slovenia,Slovenia
Spain*,Spain*
Western Europe,Western Europe
Austria,Austria
Belgium,Belgium
France*,France*
Germany,Germany
Liechtenstein,Liechtenstein
Luxembourg,Luxembourg
Monaco,Monaco
Netherlands*,Netherlands*
Switzerland,Switzerland
LATIN AMERICA AND THE CARIBBEAN,LATIN AMERICA AND THE CARIBBEAN
Caribbean,Caribbean
Anguilla*,Anguilla*
Antigua and Barbuda,Antigua and Barbuda
Aruba*,Aruba*
Bahamas,Bahamas
Barbados,Barbados
"Bonaire, Sint Eustatius and Saba*","Bonaire, Sint Eustatius and Saba*"
British Virgin Islands*,British Virgin Islands*
Cayman Islands*,Cayman Islands*
Cuba,Cuba
Curaçao*,Curaçao*
Dominica,Dominica
Dominican Republic,Dominican Republic
Grenada,Grenada
Guadeloupe*,Guadeloupe*
Haiti,Haiti
Jamaica,Jamaica
Martinique*,Martinique*
Montserrat*,Montserrat*
Puerto Rico*,Puerto Rico*
Saint Barthélemy*,Saint Barthélemy*
Saint Kitts and Nevis,Saint Kitts and Nevis
Saint Lucia,Saint Lucia
Saint Martin (French part)*,Saint Martin (French part)*
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
Sint Maarten (Dutch part)*,Sint Maarten (Dutch part)*
Trinidad and Tobago,Trinidad and Tobago
Turks and Caicos Islands*,Turks and Caicos Islands*
United States Virgin Islands*,United States Virgin Islands*
Central America,Central America
Belize,Belize
Costa Rica,Costa Rica
El Salvador,El Salvador
Guatemala,Guatemala
Honduras,Honduras
Mexico,Mexico
Nicaragua,Nicaragua
Panama,Panama
South America,South America
Argentina,Argentina
Bolivia (Plurinational State of),Bolivia (Plurinational State of)
Brazil,Brazil
Chile,Chile
Colombia,Colombia
Ecuador,Ecuador
Falkland Islands (Malvinas)*,Falkland Islands (Malvinas)*
French Guiana*,French Guiana*
Guyana,Guyana
Paraguay,Paraguay
Peru,Peru
Suriname,Suriname
Uruguay,Uruguay
Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of)
NORTHERN AMERICA,NORTHERN AMERICA
Bermuda*,Bermuda*
Canada,Canada
Greenland*,Greenland*
Saint Pierre and Miquelon*,Saint Pierre and Miquelon*
United States of America*,United States of America*
OCEANIA,OCEANIA
Australia*,Australia*
New Zealand*,New Zealand*
Melanesia,Melanesia
Fiji,Fiji
New Caledonia*,New Caledonia*
Papua New Guinea,Papua New Guinea
Solomon Islands,Solomon Islands
Vanuatu,Vanuatu
Micronesia,Micronesia
Guam*,Guam*
Kiribati,Kiribati
Marshall Islands,Marshall Islands
Micronesia (Fed. States of),Micronesia (Fed. States of)
Nauru,Nauru
Northern Mariana Islands*,Northern Mariana Islands*
Palau,Palau
Polynesia*,Polynesia*
American Samoa*,American Samoa*
Cook Islands*,Cook Islands*
French Polynesia*,French Polynesia*
Niue*,Niue*
Samoa,Samoa
Tokelau*,Tokelau*
Tonga,Tonga
Tuvalu,Tuvalu
Wallis and Futuna Islands*,Wallis and Futuna Islands*
Others,Others
